Giorno,Abruzzo,Basilicata,Calabria,Campania,Emilia-Romagna,Friuli Venezia Giulia,Lazio,Liguria,Lombardia,Marche,Molise,P.A. Bolzano,P.A. Trento,Piemonte,Puglia,Sardegna,Sicilia,Toscana,Umbria,Valle d'Aosta,Veneto,"Totale Gialle","Totale Arancioni","Totale Rosse",mappa
2020-11-06,Gialla,Gialla,Rossa,Gialla,Gialla,Gialla,Gialla,Gialla,Rossa,Gialla,Gialla,Gialla,Gialla,Rossa,Arancione,Gialla,Arancione,Gialla,Gialla,Rossa,Gialla,15,2,4,http://www.tsiotas.com/covid-19/zone/2020-11-06.png
2020-11-07,Gialla,Gialla,Rossa,Gialla,Gialla,Gialla,Gialla,Gialla,Rossa,Gialla,Gialla,Gialla,Gialla,Rossa,Arancione,Gialla,Arancione,Gialla,Gialla,Rossa,Gialla,15,2,4,http://www.tsiotas.com/covid-19/zone/2020-11-06.png
2020-11-08,Gialla,Gialla,Rossa,Gialla,Gialla,Gialla,Gialla,Gialla,Rossa,Gialla,Gialla,Gialla,Gialla,Rossa,Arancione,Gialla,Arancione,Gialla,Gialla,Rossa,Gialla,15,2,4,http://www.tsiotas.com/covid-19/zone/2020-11-06.png
2020-11-09,Gialla,Gialla,Rossa,Gialla,Gialla,Gialla,Gialla,Gialla,Rossa,Gialla,Gialla,Gialla,Gialla,Rossa,Arancione,Gialla,Arancione,Gialla,Gialla,Rossa,Gialla,15,2,4,http://www.tsiotas.com/covid-19/zone/2020-11-06.png
2020-11-10,Gialla,Gialla,Rossa,Gialla,Gialla,Gialla,Gialla,Gialla,Rossa,Gialla,Gialla,Gialla,Gialla,Rossa,Arancione,Gialla,Arancione,Gialla,Gialla,Rossa,Gialla,15,2,4,http://www.tsiotas.com/covid-19/zone/2020-11-06.png
2020-11-11,Arancione,Arancione,Rossa,Gialla,Gialla,Gialla,Gialla,Arancione,Rossa,Gialla,Gialla,Rossa,Gialla,Rossa,Arancione,Gialla,Arancione,Arancione,Arancione,Rossa,Gialla,9,7,5,http://www.tsiotas.com/covid-19/zone/2020-11-11.png
2020-11-12,Arancione,Arancione,Rossa,Gialla,Gialla,Gialla,Gialla,Arancione,Rossa,Gialla,Gialla,Rossa,Gialla,Rossa,Arancione,Gialla,Arancione,Arancione,Arancione,Rossa,Gialla,9,7,5,http://www.tsiotas.com/covid-19/zone/2020-11-11.png
2020-11-13,Arancione,Arancione,Rossa,Gialla,Gialla,Gialla,Gialla,Arancione,Rossa,Gialla,Gialla,Rossa,Gialla,Rossa,Arancione,Gialla,Arancione,Arancione,Arancione,Rossa,Gialla,9,7,5,http://www.tsiotas.com/covid-19/zone/2020-11-11.png
2020-11-14,Arancione,Arancione,Rossa,Gialla,Gialla,Gialla,Gialla,Arancione,Rossa,Gialla,Gialla,Rossa,Gialla,Rossa,Arancione,Gialla,Arancione,Arancione,Arancione,Rossa,Gialla,9,7,5,http://www.tsiotas.com/covid-19/zone/2020-11-11.png
2020-11-15,Arancione,Arancione,Rossa,Rossa,Arancione,Arancione,Gialla,Arancione,Rossa,Arancione,Gialla,Rossa,Gialla,Rossa,Arancione,Gialla,Arancione,Rossa,Arancione,Rossa,Gialla,5,9,7,http://www.tsiotas.com/covid-19/zone/2020-11-15.png
2020-11-16,Arancione,Arancione,Rossa,Rossa,Arancione,Arancione,Gialla,Arancione,Rossa,Arancione,Gialla,Rossa,Gialla,Rossa,Arancione,Gialla,Arancione,Rossa,Arancione,Rossa,Gialla,5,9,7,http://www.tsiotas.com/covid-19/zone/2020-11-15.png
2020-11-17,Arancione,Arancione,Rossa,Rossa,Arancione,Arancione,Gialla,Arancione,Rossa,Arancione,Gialla,Rossa,Gialla,Rossa,Arancione,Gialla,Arancione,Rossa,Arancione,Rossa,Gialla,5,9,7,http://www.tsiotas.com/covid-19/zone/2020-11-15.png
2020-11-18,Rossa,Arancione,Rossa,Rossa,Arancione,Arancione,Gialla,Arancione,Rossa,Arancione,Gialla,Rossa,Gialla,Rossa,Arancione,Gialla,Arancione,Rossa,Arancione,Rossa,Gialla,5,8,8,http://www.tsiotas.com/covid-19/zone/2020-11-18.png
2020-11-19,Rossa,Arancione,Rossa,Rossa,Arancione,Arancione,Gialla,Arancione,Rossa,Arancione,Gialla,Rossa,Gialla,Rossa,Arancione,Gialla,Arancione,Rossa,Arancione,Rossa,Gialla,5,8,8,http://www.tsiotas.com/covid-19/zone/2020-11-18.png
2020-11-20,Rossa,Arancione,Rossa,Rossa,Arancione,Arancione,Gialla,Arancione,Rossa,Arancione,Gialla,Rossa,Gialla,Rossa,Arancione,Gialla,Arancione,Rossa,Arancione,Rossa,Gialla,5,8,8,http://www.tsiotas.com/covid-19/zone/2020-11-18.png
2020-11-21,Rossa,Arancione,Rossa,Rossa,Arancione,Arancione,Gialla,Arancione,Rossa,Arancione,Gialla,Rossa,Gialla,Rossa,Arancione,Gialla,Arancione,Rossa,Arancione,Rossa,Gialla,5,8,8,http://www.tsiotas.com/covid-19/zone/2020-11-18.png
2020-11-22,Rossa,Arancione,Rossa,Rossa,Arancione,Arancione,Gialla,Arancione,Rossa,Arancione,Gialla,Rossa,Gialla,Rossa,Arancione,Gialla,Arancione,Rossa,Arancione,Rossa,Gialla,5,8,8,http://www.tsiotas.com/covid-19/zone/2020-11-18.png
